,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
2365,Annual,Rwanda,Sub-Saharan Africa,Textiles,Import Trade Value (US$ Thousand),2017,12869.8653155741,WITS - UNSD Comtrade
2337,Annual,Seychelles,Sub-Saharan Africa,Chemical,Import Trade Value (US$ Thousand),2017,12866.3051,WITS - UNSD Comtrade
414,Annual,Aruba,Unspecified,Textiles,Import Trade Value (US$ Thousand),2017,12861.025151796,WITS - UNSD Comtrade
2333,Annual,Zambia,Singapore,Vegetable,Import Trade Value (US$ Thousand),2017,12826.229,WITS - UNSD Comtrade
2065,Annual,Maldives,World,Footwear,Import Trade Value (US$ Thousand),2017,12825.1037056936,WITS - UNSD Comtrade
2405,Annual,Georgia,Turkey,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12812.15602,WITS - UNSD Comtrade
443,Annual,Rwanda,China,Footwear,Import Trade Value (US$ Thousand),2017,12791.4254318523,WITS - UNSD Comtrade
901,Annual,Suriname,Latin America and Caribbean,Minerals,Import Trade Value (US$ Thousand),2017,12790.7040594272,WITS - UNSD Comtrade
3591,Annual,Dominican Republic,United States,Minerals,Import Trade Value (US$ Thousand),2017,12763.00876,WITS - UNSD Comtrade
2352,Annual,Rwanda,Sub-Saharan Africa,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12740.1443807655,WITS - UNSD Comtrade
373,Annual,Lao PDR,East Asia and Pacific,Hides and Skins,Import Trade Value (US$ Thousand),2017,12726.079,WITS - UNSD Comtrade
1999,Annual,Niger,Sub-Saharan Africa,Wood,Import Trade Value (US$ Thousand),2017,12713.22183,WITS - UNSD Comtrade
229,Annual,Central African Republic,Cameroon,Intermediate goods,Import Trade Value (US$ Thousand),2017,12692.0793105501,WITS - UNSD Comtrade
1896,Annual,Maldives,Thailand,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12687.3614767904,WITS - UNSD Comtrade
1250,Annual,Myanmar,Italy,Hides and Skins,Import Trade Value (US$ Thousand),2017,12684.19318,WITS - UNSD Comtrade
457,Annual,Central African Republic,France,Intermediate goods,Import Trade Value (US$ Thousand),2017,12682.3189248749,WITS - UNSD Comtrade
2026,Annual,Mongolia,Russian Federation,Wood,Import Trade Value (US$ Thousand),2017,12681.71276,WITS - UNSD Comtrade
449,Annual,Central African Republic,France,Food,Import Trade Value (US$ Thousand),2017,12681.1259668976,WITS - UNSD Comtrade
643,Annual,Niger,Europe and Central Asia,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,12670.33355,WITS - UNSD Comtrade
272,Annual,East Timor,East Asia and Pacific,Animal,Import Trade Value (US$ Thousand),2017,12670.03955,WITS - UNSD Comtrade
329,Annual,Benin,China,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,12665.9252270705,WITS - UNSD Comtrade
2358,Annual,Rwanda,Sub-Saharan Africa,Miscellaneous,Import Trade Value (US$ Thousand),2017,12661.8453195187,WITS - UNSD Comtrade
1714,Annual,Qatar,Latin America and Caribbean,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12656.170552608,WITS - UNSD Comtrade
1649,Annual,Bahrain,Italy,Footwear,Import Trade Value (US$ Thousand),2017,12656.1627535683,WITS - UNSD Comtrade
497,Annual,Sierra Leone,East Asia and Pacific,Textiles,Import Trade Value (US$ Thousand),2017,12648.1199217684,WITS - UNSD Comtrade
352,Annual,Zimbabwe,China,Stone and Glass,Import Trade Value (US$ Thousand),2017,12645.71006,WITS - UNSD Comtrade
521,Annual,Botswana,East Asia and Pacific,Metals,Import Trade Value (US$ Thousand),2017,12639.5818420787,WITS - UNSD Comtrade
544,Annual,Swaziland,Europe and Central Asia,Food,Import Trade Value (US$ Thousand),2017,12638.4850147811,WITS - UNSD Comtrade
1646,Annual,Bahrain,Italy,Hides and Skins,Import Trade Value (US$ Thousand),2017,12635.0877091872,WITS - UNSD Comtrade
2065,Annual,Cambodia,Vietnam,Animal,Import Trade Value (US$ Thousand),2017,12633.39356,WITS - UNSD Comtrade
2590,Annual,Rwanda,Tanzania,Minerals,Import Trade Value (US$ Thousand),2017,12627.5750623697,WITS - UNSD Comtrade
723,Annual,Jordan,Europe and Central Asia,Minerals,Import Trade Value (US$ Thousand),2017,12627.295609478,WITS - UNSD Comtrade
630,Annual,Niger,East Asia and Pacific,Textiles,Import Trade Value (US$ Thousand),2017,12622.55562,WITS - UNSD Comtrade
670,Annual,Antigua and Barbuda,Europe and Central Asia,Food Products,Import Trade Value (US$ Thousand),2017,12610.3996525507,WITS - UNSD Comtrade
1679,Annual,Jamaica,North America,Footwear,Import Trade Value (US$ Thousand),2017,12596.13283,WITS - UNSD Comtrade
1309,Annual,Montenegro,Italy,Stone and Glass,Import Trade Value (US$ Thousand),2017,12594.8026940936,WITS - UNSD Comtrade
2951,Annual,Montenegro,World,Hides and Skins,Import Trade Value (US$ Thousand),2017,12594.1390056466,WITS - UNSD Comtrade
2013,Annual,St. Vincent and the Grenadines,Trinidad and Tobago,Food Products,Import Trade Value (US$ Thousand),2017,12575.275054342,WITS - UNSD Comtrade
1933,Annual,"Gambia, The",World,Animal,Import Trade Value (US$ Thousand),2017,12571.9189866641,WITS - UNSD Comtrade
365,Annual,Comoros,Europe and Central Asia,Raw materials,Import Trade Value (US$ Thousand),2017,12570.3161951607,WITS - UNSD Comtrade
618,Annual,St. Kitts and Nevis,East Asia and Pacific,Transportation,Import Trade Value (US$ Thousand),2017,12541.5879176588,WITS - UNSD Comtrade
357,Annual,Sao Tome and Principe,Europe and Central Asia,Vegetable,Import Trade Value (US$ Thousand),2017,12535.9051624695,WITS - UNSD Comtrade
381,Annual,Paraguay,Chile,Raw materials,Import Trade Value (US$ Thousand),2017,12533.884,WITS - UNSD Comtrade
1609,Annual,Honduras,Latin America and Caribbean,Footwear,Import Trade Value (US$ Thousand),2017,12516.15975,WITS - UNSD Comtrade
1261,Annual,Occ.Pal.Terr,Middle East and North Africa,Hides and Skins,Import Trade Value (US$ Thousand),2017,12504.9908528112,WITS - UNSD Comtrade
856,Annual,Tanzania,East Asia and Pacific,Animal,Import Trade Value (US$ Thousand),2017,12496.59,WITS - UNSD Comtrade
1698,Annual,Maldives,South Asia,Stone and Glass,Import Trade Value (US$ Thousand),2017,12494.6788686043,WITS - UNSD Comtrade
2979,Annual,Uganda,World,Animal,Import Trade Value (US$ Thousand),2017,12493.60582,WITS - UNSD Comtrade
2394,Annual,Jamaica,United States,Footwear,Import Trade Value (US$ Thousand),2017,12492.01945,WITS - UNSD Comtrade
602,Annual,Mauritania,France,Animal,Import Trade Value (US$ Thousand),2017,12473.4249860816,WITS - UNSD Comtrade
1065,Annual,St. Lucia,Japan,Transportation,Import Trade Value (US$ Thousand),2017,12435.3722460968,WITS - UNSD Comtrade
1557,Annual,Brunei,Malaysia,Textiles,Import Trade Value (US$ Thousand),2017,12433.4562039863,WITS - UNSD Comtrade
