ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
214,604,2017,416125.0,18.735693,-70.162651,Dominican Republic,-9.189967,-75.015152,Peru,01
218,604,2017,2234000.0,-1.831239,-78.183406,Ecuador,-9.189967,-75.015152,Peru,01
222,604,2017,453184.0,13.794185,-88.89653,El Salvador,-9.189967,-75.015152,Peru,01
68,858,2017,112556.0,-16.290154,-63.588653,Bolivia,-32.522779,-55.765835,Uruguay,01
68,32,2017,82650.0,-16.290154,-63.588653,Bolivia,-38.416097,-63.616672,Argentina,01
152,32,2017,1205785.0,-35.675147,-71.542969,Chile,-38.416097,-63.616672,Argentina,01
170,32,2017,575201.0,4.570868,-74.297333,Colombia,-38.416097,-63.616672,Argentina,01
566,32,2017,185374.0,9.081999,8.675277,Nigeria,-38.416097,-63.616672,Argentina,01
600,32,2017,747512.0,-23.442503,-58.443832,Paraguay,-38.416097,-63.616672,Argentina,01
604,32,2017,1236711.0,-9.189967,-75.015152,Peru,-38.416097,-63.616672,Argentina,01
858,32,2017,1670738.0,-32.522779,-55.765835,Uruguay,-38.416097,-63.616672,Argentina,01
76,124,2017,1326665.0,-14.235004,-51.92528,Brazil,56.130366,-106.346771,Canada,01
144,124,2017,378926.0,7.873054,80.771797,Sri Lanka,56.130366,-106.346771,Canada,01
152,124,2017,1276091.0,-35.675147,-71.542969,Chile,56.130366,-106.346771,Canada,01
158,124,2017,1196300.0,23.69781,120.960515,"Taiwan, China",56.130366,-106.346771,Canada,01
170,124,2017,668204.0,4.570868,-74.297333,Colombia,56.130366,-106.346771,Canada,01
188,124,2017,734004.0,9.748917,-83.753428,Costa Rica,56.130366,-106.346771,Canada,01
214,124,2017,651156.0,18.735693,-70.162651,Dominican Republic,56.130366,-106.346771,Canada,01
392,124,2017,25555858.0,36.204824,138.252924,Japan,56.130366,-106.346771,Canada,01
410,124,2017,6237199.0,40.339852,127.510093,"Korea, Rep.",56.130366,-106.346771,Canada,01
484,124,2017,10389920.0,23.634501,-102.552784,Mexico,56.130366,-106.346771,Canada,01
591,124,2017,453829.0,8.537981,-80.782127,Panama,56.130366,-106.346771,Canada,01
840,124,2017,1360736923.0,37.09024,-95.712891,United States,56.130366,-106.346771,Canada,01
76,276,2017,986214.0,-14.235004,-51.92528,Brazil,51.165691,10.451526,Germany,01
398,276,2017,3798003.0,48.019573,66.923684,Kazakhstan,51.165691,10.451526,Germany,01
400,276,2017,10220900.0,30.585164,36.238414,Jordan,51.165691,10.451526,Germany,01
484,276,2017,24639757.0,23.634501,-102.552784,Mexico,51.165691,10.451526,Germany,01
496,276,2017,169594.0,46.862496,103.846656,Mongolia,51.165691,10.451526,Germany,01
498,276,2017,777767.0,47.411631,28.369885,Moldova,51.165691,10.451526,Germany,01
504,276,2017,11486139.0,31.791702,-7.09262,Morocco,51.165691,10.451526,Germany,01
756,276,2017,38066691.0,46.818188,8.227512,Switzerland,51.165691,10.451526,Germany,01
804,276,2017,22435305.0,48.379433,31.16558,Ukraine,51.165691,10.451526,Germany,01
818,276,2017,8020415.0,26.820553,30.802498,"Egypt, Arab Rep.",51.165691,10.451526,Germany,01
840,276,2017,280415778.0,37.09024,-95.712891,United States,51.165691,10.451526,Germany,01
858,276,2017,156265.0,-32.522779,-55.765835,Uruguay,51.165691,10.451526,Germany,01
76,56,2017,603320.0,-14.235004,-51.92528,Brazil,50.503887,4.469936,Belgium,01
108,56,2017,16592.0,-3.373056,29.918886,Burundi,50.503887,4.469936,Belgium,01
124,56,2017,11034783.0,56.130366,-106.346771,Canada,50.503887,4.469936,Belgium,01
158,56,2017,474500.0,23.69781,120.960515,"Taiwan, China",50.503887,4.469936,Belgium,01
204,56,2017,139550.0,9.30769,2.315834,Benin,50.503887,4.469936,Belgium,01
288,56,2017,714794.0,7.946527,-1.023194,Ghana,50.503887,4.469936,Belgium,01
324,56,2017,14650.0,9.945587,-9.696645,Guinea,50.503887,4.469936,Belgium,01
384,56,2017,338749.0,7.539989,-5.54708,Cote d'Ivoire,50.503887,4.469936,Belgium,01
466,56,2017,3142322.0,17.570692,-3.996166,Mali,50.503887,4.469936,Belgium,01
516,56,2017,128287.0,-22.95764,18.49041,Namibia,50.503887,4.469936,Belgium,01
